,accelerometer_X,accelerometer_Y,accelerometer_Z,activity
298,2.418144,-8.571242,-1.675941,stairs
299,-5.861006,-6.397307,-3.375824,stairs
300,8.39886,-13.771448,-2.566584,stairs
301,2.494758,-10.328587,-8.690952000000001,stairs
302,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
303,-6.224924,-12.23437,-26.230873,stairs
304,1.273715,-6.502651,-3.572149,stairs
305,0.7230489999999999,-6.871359,-4.079719,stairs
306,2.226608,-7.575253999999999,-12.555194,stairs
307,3.284845,-11.96622,-3.892972,stairs
308,3.945645,-11.760319,-8.09719,stairs
309,2.801216,-9.32781,-5.133168,stairs
310,-1.35033,-3.380613,-0.057461,stairs
311,-0.253785,-6.373365,0.205901,stairs
312,-1.608903,-6.502651,-3.998317,stairs
313,1.685518,-10.146626,-1.115698,stairs
314,-0.474052,-4.13718,-1.249773,stairs
315,-0.761356,-9.203311,-2.178723,stairs
316,-1.278504,-4.1419690000000005,0.253785,stairs
317,-0.3304,-6.105214,-3.284845,stairs
318,1.455675,-7.479486,-3.864241,stairs
319,1.613692,-9.150639,-4.151545,stairs
320,1.216255,-9.792285,0.636858,stairs
321,-2.54743,-7.086836999999999,-2.585738,stairs
322,-1.206678,-9.433155,-2.202665,stairs
323,-3.102885,-4.644751,-2.456451,stairs
324,0.282516,-9.251195,-0.933739,stairs
325,-3.20823,-4.711789,0.885855,stairs
326,2.418144,-8.571242,-1.675941,stairs
327,-5.861006,-6.397307,-3.375824,stairs
328,2.959233,-6.081272,-3.136404,stairs
329,-7.805097,-8.365341,-2.130839,stairs
330,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
331,-6.224924,-12.23437,-26.230873,stairs
332,1.273715,-6.502651,-3.572149,stairs
333,0.7230489999999999,-6.871359,-4.079719,stairs
334,2.226608,-7.575253999999999,-12.555194,stairs
335,3.284845,-11.96622,-3.892972,stairs
336,3.945645,-11.760319,-8.09719,stairs
337,2.801216,-9.32781,-5.133168,stairs
338,-1.35033,-3.380613,-0.057461,stairs
339,-0.253785,-6.373365,0.205901,stairs
340,-1.608903,-6.502651,-3.998317,stairs
341,1.685518,-10.146626,-1.115698,stairs
342,-0.474052,-4.13718,-1.249773,stairs
343,-0.761356,-9.203311,-2.178723,stairs
344,-1.278504,-4.1419690000000005,0.253785,stairs
345,-0.3304,-6.105214,-3.284845,stairs
346,1.455675,-7.479486,-3.864241,stairs
347,1.613692,-9.150639,-4.151545,stairs
348,1.216255,-9.792285,0.636858,stairs
349,-2.54743,-7.086836999999999,-2.585738,stairs
350,-1.206678,-9.433155,-2.202665,stairs
351,-3.102885,-4.644751,-2.456451,stairs
352,0.282516,-9.251195,-0.933739,stairs
353,-3.20823,-4.711789,0.885855,stairs
354,2.418144,-8.571242,-1.675941,stairs
355,-5.861006,-6.397307,-3.375824,stairs
356,2.959233,-6.081272,-3.136404,stairs
357,-7.805097,-8.365341,-2.130839,stairs
358,-0.842759,-6.119579,-1.61848,stairs
359,-1.814805,-7.259219,-1.043872,stairs
360,-4.582502,-7.862558,9.792285,stairs
361,1.910573,-5.985504,-1.599327,stairs
362,4.458004,-6.914453999999999,-5.401319,stairs
363,2.475605,-8.705316999999999,-0.3734949999999999,stairs
364,-1.120486,-5.803545,2.044648,stairs
365,-2.39899,-8.451532,4.055778,stairs
366,5.64074,-8.566454,1.029507,stairs
367,-0.8283940000000001,-0.483629,10.582372,stairs
368,4.491523,-7.393294999999999,-1.58975,stairs
369,4.97994,-10.127473,-14.422671,stairs
370,1.106121,-7.115567,2.240973,stairs
371,1.355118,-8.667010000000001,1.479617,stairs
372,2.149993,-7.474697,5.93762,stairs
373,8.288725999999999,-10.783484,-3.165135,stairs
374,-0.991199,-19.416977,4.074930999999999,stairs
375,7.062895,-8.063671000000001,-0.972046,stairs
376,0.766145,-4.788403,-0.981623,stairs
377,0.02873,-6.545747,-0.6464340000000001,stairs
378,6.952762,-11.247959,0.344765,stairs
379,6.895301,-13.982138,-2.504335,stairs
380,-1.417367,-19.349937,0.177171,stairs
381,0.320823,-3.715801,-9.653421,stairs
382,-4.649539,-15.05474,1.192313,stairs
383,4.242526,-16.539145,-10.836157,stairs
384,6.789956,-6.947972999999999,-3.007117,stairs
385,0.933739,-4.606444000000001,-0.512359,stairs
386,3.2896330000000003,-7.469908999999999,-0.0430959999999999,stairs
387,-1.6519990000000002,-17.535133,-2.2505490000000004,stairs
388,-6.320692,-6.196194,1.896208,stairs
389,-1.331176,-17.956512,-0.632069,stairs
390,1.273715,-6.502651,-3.572149,stairs
391,0.7230489999999999,-6.871359,-4.079719,stairs
392,2.226608,-7.575253999999999,-12.555194,stairs
393,3.284845,-11.96622,-3.892972,stairs
394,3.945645,-11.760319,-8.09719,stairs
395,2.801216,-9.32781,-5.133168,stairs
396,-1.35033,-3.380613,-0.057461,stairs
397,-0.253785,-6.373365,0.205901,stairs
398,-1.608903,-6.502651,-3.998317,stairs
399,1.685518,-10.146626,-1.115698,stairs
400,-0.474052,-4.13718,-1.249773,stairs
401,-0.761356,-9.203311,-2.178723,stairs
402,-1.278504,-4.1419690000000005,0.253785,stairs
403,-0.3304,-6.105214,-3.284845,stairs
404,1.455675,-7.479486,-3.864241,stairs
405,1.613692,-9.150639,-4.151545,stairs
406,1.216255,-9.792285,0.636858,stairs
